         1005618 function calls (987576 primitive calls) in 137.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2442    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
     4438    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       13    0.000    0.000    0.004    0.000 ops.py:45(_create_methods)
      409    0.000    0.000    0.001    0.000 warnings.py:159(_add_filter)
       72    0.000    0.000    0.003    0.000 abc.py:132(__new__)
       76    0.000    0.000    0.098    0.001 __init__.py:1(<module>)
       71    0.000    0.000    0.002    0.000 tokenize.py:448(open)
     1940    0.000    0.000    0.001    0.000 posixpath.py:39(_get_sep)
      576    0.000    0.000    0.004    0.000 __init__.py:909(__setitem__)
      408    0.000    0.000    0.001    0.000 tf_logging.py:120(vlog)
     1946    0.000    0.000    0.001    0.000 sre_parse.py:159(__len__)
      528    0.000    0.000    0.001    0.000 sre_compile.py:388(_simple)
      268    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
      148    0.000    0.000    0.039    0.000 ops.py:1792(NotDifferentiable)
      374    0.000    0.000    0.009    0.000 __init__.py:2533(__init__)
     2324    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      403    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
     1163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
     1866    0.000    0.000    0.001    0.000 version.py:53(__eq__)
      181    0.000    0.000    0.001    0.000 __init__.py:2837(<listcomp>)
     2134    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 testing.py:1(<module>)
      405    0.000    0.000    0.000    0.000 warnings.py:449(__enter__)
     1860    0.000    0.000    0.002    0.000 version.py:47(__lt__)
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      590    0.000    0.000    0.001    0.000 __init__.py:2753(__getattr__)
      923    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      293    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      216    0.000    0.000    0.001    0.000 ntpath.py:121(splitdrive)
     1082    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      375    0.000    0.000    0.001    0.000 posixpath.py:142(basename)
      406    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1362(IPv4Interface)
        1    0.000    0.000    0.001    0.001 base.py:781(IndexOpsMixin)
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
       45    0.000    0.000    0.005    0.000 all_util.py:30(make_all)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
     1616    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
3198/3098    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.001    0.001 meta_graph_pb2.py:4(<module>)
      181    0.000    0.000    0.023    0.000 __init__.py:2717(activate)
      282    0.000    0.000    0.001    0.000 function_base.py:3895(add_newdoc)
     1464    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
